"profile"	"command"	"class"	"expected"	"actual"	"status"	"wall_ms"	"model"
"S2"	"P4Freshness"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2634"	"auto_decte_batch_s2.als"
"S2"	"P5TransitionBijection"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2424"	"auto_decte_batch_s2.als"
"S2"	"FullNoPartialItemEffects"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"3372"	"auto_decte_batch_s2.als"
"S2"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2176"	"auto_decte_batch_s2.als"
"S2"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2520"	"auto_decte_batch_s2.als"
"S2"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3179"	"auto_decte_batch_s2.als"
"S2"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"5105"	"auto_decte_batch_s2.als"
"S2"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2191"	"auto_decte_batch_s2.als"
"S2"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2369"	"auto_decte_batch_s2.als"
"S2"	"LegalAdmissionTraceCompleteUnderWellFormedPre"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"58043"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3149"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3521"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3184"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3043"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2852"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2896"	"auto_decte_batch_s2.als"
"S2"	"SAT_TRACE_wellformed_pre_initial"	"trace-witness"	"SAT"	"SAT"	"PASS"	"3032"	"auto_decte_batch_s2.als"
"S2"	"SAT_TRACE_wellformed_pre_carryforward"	"trace-witness"	"SAT"	"SAT"	"PASS"	"4153"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3672"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3662"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3745"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3535"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"4401"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3739"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3670"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_6_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"4097"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_8_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3792"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_9_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3867"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_10_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3606"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_loss"	"attack-witness"	"SAT"	"SAT"	"PASS"	"2948"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_replacement"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3143"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_source_version_duplicate"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3013"	"auto_decte_batch_s2.als"
