stratum_type,stratum,unit,metric,replicates,seed,lower_95,upper_95,valid_replicates,undefined_replicates
scenario,A6,case,pabak,5000,20260960,1.0,1.0,5000,0
scenario,A6,model,percent_agreement,5000,20260961,1.0,1.0,5000,0
scenario,A6,model,cohen_kappa,5000,20260961,1.0,1.0,3504,1496
scenario,A6,model,gwet_ac1,5000,20260961,1.0,1.0,5000,0
scenario,A6,model,pabak,5000,20260961,1.0,1.0,5000,0
scenario,A6,cell,percent_agreement,5000,20260962,1.0,1.0,5000,0
scenario,A6,cell,cohen_kappa,5000,20260962,1.0,1.0,3508,1492
scenario,A6,cell,gwet_ac1,5000,20260962,1.0,1.0,5000,0
scenario,A6,cell,pabak,5000,20260962,1.0,1.0,5000,0
scenario,B4,case,percent_agreement,5000,20260970,0.9390243902439024,1.0,5000,0
scenario,B4,case,cohen_kappa,5000,20260970,0.0,0.0,4317,683
scenario,B4,case,gwet_ac1,5000,20260970,0.9351932348059748,1.0,5000,0
scenario,B4,case,pabak,5000,20260970,0.8780487804878048,1.0,5000,0
scenario,B4,model,percent_agreement,5000,20260971,0.9166666666666666,1.0,5000,0
scenario,B4,model,cohen_kappa,5000,20260971,0.0,0.0,3511,1489
scenario,B4,model,gwet_ac1,5000,20260971,0.9094339622641509,1.0,5000,0
scenario,B4,model,pabak,5000,20260971,0.8333333333333333,1.0,5000,0
scenario,B4,cell,percent_agreement,5000,20260972,0.9166666666666666,1.0,5000,0
scenario,B4,cell,cohen_kappa,5000,20260972,0.0,0.0,3540,1460
scenario,B4,cell,gwet_ac1,5000,20260972,0.9094339622641509,1.0,5000,0
scenario,B4,cell,pabak,5000,20260972,0.8333333333333333,1.0,5000,0
model_config,D1,case,percent_agreement,5000,20260980,0.8275862068965517,0.9540229885057471,5000,0
model_config,D1,case,cohen_kappa,5000,20260980,0.621973929236499,0.8949275362318839,5000,0
model_config,D1,case,gwet_ac1,5000,20260980,0.6874518860662047,0.918405627198124,5000,0
model_config,D1,case,pabak,5000,20260980,0.6551724137931034,0.9080459770114941,5000,0
model_config,D1,model,percent_agreement,5000,20260981,0.896551724137931,0.896551724137931,5000,0
model_config,D1,model,cohen_kappa,5000,20260981,0.7708516242317822,0.7708516242317822,5000,0
model_config,D1,model,gwet_ac1,5000,20260981,0.8125224470250211,0.8125224470250211,5000,0
model_config,D1,model,pabak,5000,20260981,0.7931034482758621,0.7931034482758621,5000,0
model_config,D1,cell,percent_agreement,5000,20260982,0.8703703703703703,0.9433962264150944,5000,0
model_config,D1,cell,cohen_kappa,5000,20260982,0.0,0.823973176865046,5000,0
model_config,D1,cell,gwet_ac1,5000,20260982,0.754913294797688,0.932982086406744,5000,0
model_config,D1,cell,pabak,5000,20260982,0.7407407407407407,0.8867924528301887,5000,0
model_config,G1,case,percent_agreement,5000,20260990,0.825,0.9333333333333333,5000,0
model_config,G1,case,cohen_kappa,5000,20260990,0.3659621802002227,0.7519379844961241,5000,0
model_config,G1,case,gwet_ac1,5000,20260990,0.7447398843930636,0.9186085945448379,5000,0
model_config,G1,case,pabak,5000,20260990,0.6499999999999999,0.8666666666666667,5000,0
model_config,G1,model,percent_agreement,5000,20260991,0.8833333333333333,0.8833333333333333,5000,0
model_config,G1,model,cohen_kappa,5000,20260991,0.5731707317073171,0.5731707317073171,5000,0
model_config,G1,model,gwet_ac1,5000,20260991,0.8409392160575648,0.8409392160575648,5000,0
model_config,G1,model,pabak,5000,20260991,0.7666666666666666,0.7666666666666666,5000,0
model_config,G1,cell,percent_agreement,5000,20260992,0.7,1.0,5000,0
model_config,G1,cell,cohen_kappa,5000,20260992,0.4285714285714285,0.6590909090909087,4713,287
model_config,G1,cell,gwet_ac1,5000,20260992,0.423076923076923,1.0,5000,0
model_config,G1,cell,pabak,5000,20260992,0.3999999999999999,1.0,5000,0
model_config,G2,case,percent_agreement,5000,20261000,0.7966101694915254,0.923728813559322,5000,0
model_config,G2,case,cohen_kappa,5000,20261000,0.30525648783329395,0.7123705057891528,5000,0
model_config,G2,case,gwet_ac1,5000,20261000,0.7009201608904071,0.8995697196084921,5000,0
model_config,G2,case,pabak,5000,20261000,0.5932203389830508,0.847457627118644,5000,0
model_config,G2,model,percent_agreement,5000,20261001,0.864406779661017,0.864406779661017,5000,0
model_config,G2,model,cohen_kappa,5000,20261001,0.5244332493702771,0.5244332493702771,5000,0
model_config,G2,model,gwet_ac1,5000,20261001,0.8112754898040786,0.8112754898040786,5000,0
model_config,G2,model,pabak,5000,20261001,0.728813559322034,0.728813559322034,5000,0
model_config,G2,cell,percent_agreement,5000,20261002,0.6,1.0,5000,0
model_config,G2,cell,cohen_kappa,5000,20261002,0.23562753036437242,0.5259259259259262,3395,1605
model_config,G2,cell,gwet_ac1,5000,20261002,0.19999999999999996,1.0,5000,0
model_config,G2,cell,pabak,5000,20261002,0.19999999999999996,1.0,5000,0
