"profile"	"command"	"class"	"expected"	"actual"	"status"	"wall_ms"	"model"
"S2"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2255"	"auto_decte_batch_s2.als"
"S2"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2679"	"auto_decte_batch_s2.als"
"S2"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3439"	"auto_decte_batch_s2.als"
"S2"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"5245"	"auto_decte_batch_s2.als"
"S2"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2263"	"auto_decte_batch_s2.als"
"S2"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2423"	"auto_decte_batch_s2.als"
"S2"	"LegalAdmissionTraceCompleteUnderWellFormedPre"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"51137"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3166"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3413"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3229"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3221"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2983"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2913"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3358"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3292"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3329"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3393"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3665"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3567"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3337"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_6_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3498"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_8_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3412"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_9_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3569"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_10_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3467"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_loss"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3179"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_replacement"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3329"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_source_version_duplicate"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3462"	"auto_decte_batch_s2.als"
